mandature;uidconseiller;civilite;nom;prenom;groupecourt;groupepolitique;fonctionexecutif;codedepelection;depelection;listecourt;listeelectorale;datenaissance;villenaissance;profession;twitter;facebook;siteinternet;blog
18.0;ELU53;Monsieur;KALFON;François;E-ÎDF;Ensemble, l'Île-de-France;;77.0;Seine-et-Marne;LUG 77;La Gauche et les Écologistes rassemblés avec Claude Bartolone 77;11/06/1968;;Cadre supérieur (privé);;;;
18.0;ELU155;Madame;LAVALETTE (DE);Béatrice;UDI;Union des Démocrates et Indépendants;13ème Vice-Présidente en charge du dialogue social;92.0;Hauts-de-Seine;LUD 92;L'alternance avec Valérie Pécresse 92;20/09/1965;Limoges;Profession rattachée à l'enseignt.;@De_Lavalette_B;;;
18.0;ELU1;Monsieur;LOUSTAU;Axel;RN-ÎDF;Rassemblement national Île-de-France;;92.0;Hauts-de-Seine;FN 92;Front National 92;17/02/1971;Issy-les-Moulineaux;Chef d'entreprise;@axelloustau;axel loustau;;
18.0;ELU56;Madame;MONVILLE-DE CECCO;Bénédicte;AES;Alternative écologiste et sociale;;77.0;Seine-et-Marne;LUG 77;La Gauche et les Écologistes rassemblés avec Claude Bartolone 77;26/05/1970;Paris;: Enseignante dans l'enseignement supérieur privé;@BenMonville;Bénédicte Monville-De Cecco;http://bienvivreamelun.wordpress.com;http://blogs.mediapart.fr/benedicte-monville
18.0;ELU70;Monsieur;PLACÉ;Jean-Vincent;EcoPro-IDF;Ecologiste et progressistes pour l'Île-de-France;;91.0;Essonne;LUG 91;La Gauche et les Écologistes rassemblés avec Claude Bartolone 91;12/03/1968;;;@JVPlace;;;
18.0;ELU179;Madame;PRIMEVERT;Catherine;LRI;Libres, Républicains et Indépendants;;94.0;Val-de-Marne;LUD 94;l'alternance avec Valérie Pécresse 94;22/08/1951;Saint-Maur-des-Fossés;: Retraitée de l'enseignement;;;;
18.0;ELU159;Madame;QUILLERY;Christine;UDI;Union des Démocrates et Indépendants;;92.0;Hauts-de-Seine;LUD 92;L'alternance avec Valérie Pécresse 92;18/04/1955;Vichy;;@quillerychris;;;http://www.udi-clamart.fr/
18.0;ELU101;Madame;REZEG;Hamida;LRI;Libres, Républicains et Indépendants;12ème Vice-président en charge du tourisme;77.0;Seine-et-Marne;LUD 77;L'alternance avec Valérie Pécresse 77;09/11/1972;Meaux;;;hamida rezeg;;
18.0;ELU83;Madame;ROMANA;Viviane;EcoPro-IDF;Ecologiste et progressistes pour l'Île-de-France;;93.0;Seine-Saint-Denis;LUG 93;La Gauche et les Écologistes rassemblés avec Claude Bartolone 93;25/12/1963;Point-à-Pitre;: Psychologue;@Rolle Romana;Viviane Romana;;
18.0;ELU64;Madame;SENÉE;Ghislaine;AES;Alternative écologiste et sociale;;78.0;Yvelines;LUG 78;La Gauche et les Écologistes rassemblés avec Claude Bartolone 78;14/02/1969;;Maire;;;;
18.0;ELU163;Monsieur;TORO;Ludovic;UDI;Union des Démocrates et Indépendants;;93.0;Seine-Saint-Denis;LUD 93;l'alternance avec Valérie Pécresse 93;16/02/1959;Coubron;Médecin;@ludovictoro;Ludovic Toro;;
18.0;ELU48;Madame;VENEZIANO;Stéphanie;E-ÎDF;Ensemble, l'Île-de-France;;75.0;Paris;LUG 75;La Gauche et les Écologistes rassemblés avec Claude Bartolone;11/04/1973;La Tronche;Cadre territoriale;@Veneziano_S;Veneziano.stephanie;;
18.0;ELU19;Monsieur;WEHRLING;Yann;CD;Centre et des Démocrates;;75.0;Paris;LUD 75;L'alternance avec Valérie Pécresse 75;03/07/1971;Strasbourg (67);Ambassadeur;@yannwehrling;yann.wehrling88;;ywehrling.blogspot.com
18.0;ELU161;Monsieur;BESCHIZZA;Bruno;LRI;Libres, Républicains et Indépendants;;93.0;Seine-Saint-Denis;LUD 93;l'alternance avec Valérie Pécresse 93;24/03/1968;Saint-Mandé (94);Haut fonctionnaire;@brunobeschizza;bruno.beschizza;bruno.beschizza.fr;
18.0;ELU171;Madame;CAMARA;Yasmine;LRI;Libres, Républicains et Indépendants;;94.0;Val-de-Marne;LUD 94;l'alternance avec Valérie Pécresse 94;05/12/1982;Issy les Moulineaux;;@jasmine_camara;Jasmine Camara;;
18.0;ELU154;Monsieur;DENIZIOT;Pierre;LRI;Libres, Républicains et Indépendants;14ème Vice-président en charge du logement et du handicap;92.0;Hauts-de-Seine;LUD 92;L'alternance avec Valérie Pécresse 92;19/09/1981;Vichy;Neuropsychologue;;;;
18.0;ELU204;Madame;FATNA;Huguette;RN-ÎDF;Rassemblement national Île-de-France;;93.0;Seine-Saint-Denis;FN 93;Front National 93;08/08/1948;;Autre cadre (privé);;;;
18.0;ELU124;Monsieur;FERNIOT;Benjamin;UDI;Union des Démocrates et Indépendants;;78.0;Yvelines;LUD 78;L'alternance avec Valérie Pécresse 78;12/10/1976;Epinay s/Seine;Directeur du Développement;;;;
18.0;ELU46;Madame;GUENOUX;Muriel;EcoPro-IDF;Ecologiste et progressistes pour l'Île-de-France;;75.0;Paris;LUG 75;La Gauche et les Écologistes rassemblés avec Claude Bartolone;24/06/1961;Montreuil;Directrice des relations extérieures;@MurielGuenoux;;;
18.0;ELU186;Monsieur;HUMBERT;Thibault;LRI;Libres, Républicains et Indépendants;;95.0;Val-d'Oise;LUD 95;l'alternance avec Valérie Pécresse 95;21/04/1972;Bethune;Cadre bancaire;;Thibault Humbert;;
18.0;ELU95;Madame;JAOUEN;Elvira;E-ÎDF;Ensemble, l'Île-de-France;;95.0;Val-d'Oise;LUG 95;La Gauche et les Écologistes rassemblés avec Claude Bartolone 95;05/07/1960;Herblay;Fonctionnaire en détachement;@elvirajaouen;Elvira jaouen;;
18.0;ELU92;Monsieur;KIENZLEN;Jonathan;E-ÎDF;Ensemble, l'Île-de-France;;94.0;Val-de-Marne;LUG 94;La Gauche et les Écologistes rassemblés avec Claude Bartolone 94;17/12/1980;;Directeur administratif - Mairie d'Alfortville;@jokienzlen;Jonathan Kienzlen;;
18.0;ELU81;Madame;LIME-BIFFE;Catherine;E-ÎDF;Ensemble, l'Île-de-France;;92.0;Hauts-de-Seine;LUG 92;La Gauche et les Écologistes rassemblés avec Claude Bartolone 92;28/01/1977;Clamart;Autre cadre (privé);@CatherineLime;Catherine Lime Biffe;;
18.0;ELU77;Madame;MALAISÉ;Céline;FdG;Front de Gauche - Parti communiste français et République & socialisme;;92.0;Hauts-de-Seine;LUG 92;La Gauche et les Écologistes rassemblés avec Claude Bartolone 92;13/12/1979;;Enseignante;@CelineMalaise;;;
18.0;ELU80;Monsieur;MARQUAILLE;Benoît;EcoPro-IDF;Ecologiste et progressistes pour l'Île-de-France;;92.0;Hauts-de-Seine;LUG 92;La Gauche et les Écologistes rassemblés avec Claude Bartolone 92;03/08/1973;;Industriel-Chef entreprise;@bmarquaille;bmarquaille;;
18.0;ELU11;Madame;MONOD;Claire;AES;Alternative écologiste et sociale;;75.0;Paris;LUG 75;La Gauche et les Écologistes rassemblés avec Claude Bartolone;01/07/1964;Puteaux;: Fonctionnaire;@ClaireMonod;claire Monod;;
18.0;ELU209;Monsieur;OUCHIKH;Karim;NI;Non Inscrits;;95.0;Val-d'Oise;FN 95;Front National 95;13/03/1965;;Avocat;@OuchikhKarim;;;
18.0;ELU138;Madame;PERDEREAU;Isabelle;LRI;Libres, Républicains et Indépendants;;91.0;Essonne;LUD 91;L'alternance avec Valérie Pécresse 91;05/01/1961;;: Industrie-Chef entreprise;;isabelle.perdereau;;
18.0;ELU25;Monsieur;SAADI;Mustapha;UDI;Union des Démocrates et Indépendants;;75.0;Paris;LUD 75;L'alternance avec Valérie Pécresse 75;01/10/1954;Paris;Juriste;@MustaSaadi;Mustapha Saadi;;
18.0;ELU107;Monsieur;VALLETOUX;Frédéric;LRI;Libres, Républicains et Indépendants;;77.0;Seine-et-Marne;LUD 77;L'alternance avec Valérie Pécresse 77;23/08/1966;;Ex-journaliste;;;;
18.0;ELU226;Madame;ACHTERGAELE;Nadége;LRI;Libres, Républicains et Indépendants;;91.0;Essonne;;;21/03/1976;Ris Orangis;Ingénieur;;;;
18.0;ELU63;Monsieur;AÏT;Eddie;EcoPro-IDF;Ecologiste et progressistes pour l'Île-de-France;;78.0;Yvelines;LUG 78;La Gauche et les Écologistes rassemblés avec Claude Bartolone 78;17/06/1975;Carrières Sous Poissy;Cadre supérieur dans un établissement public administratif;@eddieait_of;http://facebook.com/eddie.ait;www.eddieait.fr;
18.0;ELU149;Madame;BAELDE;Charlotte;CD;Centre et des Démocrates;;92.0;Hauts-de-Seine;LUD 92;L'alternance avec Valérie Pécresse 92;06/10/1988;Auchel 62;Attachée de presse;@cha_baelde;;;
18.0;ELU33;Monsieur;BARIANI;Didier;UDI;Union des Démocrates et Indépendants;;75.0;Paris;LUD 75;L'alternance avec Valérie Pécresse 75;16/10/1943;Ballerines (03);Retraité;;;;
18.0;ELU98;Madame;BERESSI;Isabelle;E-ÎDF;Ensemble, l'Île-de-France;;95.0;Val-d'Oise;LUG 95;La Gauche et les Écologistes rassemblés avec Claude Bartolone 95;08/05/1970;Tunis (Tunisie);Chargée de mission Finance;;@isabelleberessi;;
18.0;ELU75;Madame;BERTELLA-GEFFROY;Marie-Odile;AES;Alternative écologiste et sociale;;92.0;Hauts-de-Seine;LUG 92;La Gauche et les Écologistes rassemblés avec Claude Bartolone 92;30/04/1949;Malestroit;Avocat;;;;
18.0;ELU182;Monsieur;BODIN;Claude;LRI;Libres, Républicains et Indépendants;;95.0;Val-d'Oise;LUD 95;l'alternance avec Valérie Pécresse 95;15/05/1952;Versailles;Retraité (Attaché d'admi. hospitaliére);;Claude Bodin;http://www.claudebodin.fr;
18.0;ELU123;Madame;CABRIT;Anne;LRI;Libres, Républicains et Indépendants;;78.0;Yvelines;LUD 78;L'alternance avec Valérie Pécresse 78;01/06/1970;Rodez;Juriste;;;;
18.0;ELU17;Monsieur;CHARBONNIER;Régis;E-ÎDF;Ensemble, l'Île-de-France;;94.0;Val-de-Marne;LUG 94;La Gauche et les Écologistes rassemblés avec Claude Bartolone 94;14/09/1954;Corbeil-Essones;Retraité;;;;
18.0;ELU144;Monsieur;DIDIER;Geoffroy;LRI;Libres, Républicains et Indépendants;;92.0;Hauts-de-Seine;LUD 92;L'alternance avec Valérie Pécresse 92;12/04/1976;Boulogne-Billancourt;Avocat;@geoffroy Didier;;;
18.0;ELU58;Madame;GRANDGAMBE;Sandrine;AES;Alternative écologiste et sociale;;78.0;Yvelines;LUG 78;La Gauche et les Écologistes rassemblés avec Claude Bartolone 78;06/01/1971;Paris;Enseignante;;;;
18.0;ELU65;Monsieur;JALLAMION;Michel;FdG;Front de Gauche - Parti communiste français et République & socialisme;;78.0;Yvelines;LUG 78;La Gauche et les Écologistes rassemblés avec Claude Bartolone 78;01/04/1974;St Martin d'Hères;Contrôleur des finances publiques;@jallamionMichel;michel.jallamion;http://republiqueetsocialisme.fr;http://republiqueetsocialisme75.unblog.fr
18.0;ELU170;Monsieur;JEANBRUN;Vincent;LRI;Libres, Républicains et Indépendants;;94.0;Val-de-Marne;LUD 94;l'alternance avec Valérie Pécresse 94;05/05/1984;Paris;Maire;@VincentJeanbrun;Vincent Jeanbrun;http://www.vincent-jeanbrun.com;
18.0;ELU40;Monsieur;KANUTY;Pierre;E-ÎDF;Ensemble, l'Île-de-France;;75.0;Paris;LUG 75;La Gauche et les Écologistes rassemblés avec Claude Bartolone;27/02/1972;Paris;Cadre;@pierre Kanuty;Pierre Kanuty;http://kanuty.net;
18.0;ELU8;Madame;KENYA;Ngandu;LRI;Libres, Républicains et Indépendants;;91.0;Essonne;LUD 91;L'alternance avec Valérie Pécresse 91;04/08/1956;LEOPOLDVILLE;médiatrice;;;;
18.0;ELU28;Madame;LECOUTURIER;Béatrice;CD;Centre et des Démocrates;;75.0;Paris;LUD 75;L'alternance avec Valérie Pécresse 75;30/04/1965;Neuilly sur Seine;Conseillère financière;@Lecouturier8;;;
18.0;ELU200;Monsieur;LEGRAND;Aurélien;RN-ÎDF;Rassemblement national Île-de-France;;91.0;Essonne;FN 91;Front National 91;27/03/1983;Cambrai;Professeur du secondaire et tech.;Au_Legrand;;http://idfbleumarine.fr;
18.0;ELU117;Madame;MESSIER;Anne;LRI;Libres, Républicains et Indépendants;;78.0;Yvelines;LUD 78;L'alternance avec Valérie Pécresse 78;07/02/1971;bourg-Achard;Collaboratrice de Député;;;;
18.0;ELU198;Monsieur;NAUTH;Cyril;RN-ÎDF;Rassemblement national Île-de-France;;78.0;Yvelines;FN 78;Front National 78;19/12/1981;Dijon;: Enseignant en disponibilité;;;;
18.0;ELU127;Madame;PIGANEAU;Sylvie;LRI;Libres, Républicains et Indépendants;;78.0;Yvelines;LUD 78;L'alternance avec Valérie Pécresse 78;11/05/1957;Meknès;: Professeur retraitée de l'Education nationale;@spiganeau;sylvie piganeau;;
18.0;ELU43;Monsieur;ROMERO - MICHEL;Jean-Luc;EcoPro-IDF;Ecologiste et progressistes pour l'Île-de-France;;75.0;Paris;LUG 75;La Gauche et les Écologistes rassemblés avec Claude Bartolone;30/06/1959;Bethune;: Attaché territorial;@JeanLucRomero;JeanLucRomero;http://www.jeanluc-romero.com;http://www.romero-blog.fr
18.0;ELU167;Monsieur;SALINI;Stéphane;UDI;Union des Démocrates et Indépendants;3ème Vice-président en charge des finances et de l'évaluation des politiques publiques;93.0;Seine-Saint-Denis;LUD 93;l'alternance avec Valérie Pécresse 93;21/11/1970;Le Blanc Mesnil;Entrepreneur;;;;
18.0;ELU7;Monsieur;SAMSOEN;Nicolas;UDI;Union des Démocrates et Indépendants;;91.0;Essonne;LUD 91;L'alternance avec Valérie Pécresse 91;29/12/1970;;Cadre supérieur (secteur privé);;;;
18.0;ELU126;Monsieur;TARDY-JOUBERT;Nicolas;NI;Non Inscrits;;78.0;Yvelines;LUD 78;L'alternance avec Valérie Pécresse 78;26/09/1957;;Autre profession libérale;@NicolasTJ;;;
18.0;ELU143;Madame;AESCHLIMANN;Marie-Do;LRI;Libres, Républicains et Indépendants;;92.0;Hauts-de-Seine;LUD 92;L'alternance avec Valérie Pécresse 92;17/04/1974;Basse-Terre;Avocate;@MDo Aeschlimann;Marie-Do Aeschlimann;;http://mdoaeschlimann.com
18.0;ELU100;Monsieur;BATTAIL;Gilles;LRI;Libres, Républicains et Indépendants;;77.0;Seine-et-Marne;LUD 77;L'alternance avec Valérie Pécresse 77;09/12/1959;Abidjan (Côte d'Ivoire);Vétérinaire;@gillesbattailt;;;
18.0;ELU197;Madame;BENZELMAT;Yasmine;NI;Non Inscrits;;78.0;Yvelines;FN 78;Front National 78;28/09/1982;Toulouse (31);Consolideur - Analyste financier;@yasminebenzelma;;;
18.0;ELU22;Madame;BERTHOUT;Florence;LRI;Libres, Républicains et Indépendants;;75.0;Paris;LUD 75;L'alternance avec Valérie Pécresse 75;25/06/1962;Houdan;Cadre;@FloBertout_05;Florence_Berthout;;
18.0;ELU120;Monsieur;CAFFIN;Michel;LRI;Libres, Républicains et Indépendants;;78.0;Yvelines;LUD 78;L'alternance avec Valérie Pécresse 78;17/07/1956;Mantes la Jolie;Agriculteur;;;;
18.0;ELU42;Madame;CARREY-CONTE;Fanélie;AES;Alternative écologiste et sociale;;75.0;Paris;LUG 75;La Gauche et les Écologistes rassemblés avec Claude Bartolone;16/05/1980;;Agent général d'assurances;;;;
18.0;ELU113;Madame;COTÉ-MILLARD;Véronique;UDI;Union des Démocrates et Indépendants;;78.0;Yvelines;LUD 78;L'alternance avec Valérie Pécresse 78;01/03/1958;Saint-Germain en Laye;Agent d'affaires;;;;
18.0;ELU35;Madame;DAUVERGNE;Emmanuelle;LRI;Libres, Républicains et Indépendants;;75.0;Paris;LUD 75;L'alternance avec Valérie Pécresse 75;03/10/1971;Reims;Permanent politique-Resp. de service;@emmadauvergne;;;
18.0;ELU10;Monsieur;DAVIAUD;Jean-Philippe;E-ÎDF;Ensemble, l'Île-de-France;;75.0;Paris;LUG 75;La Gauche et les Écologistes rassemblés avec Claude Bartolone;25/09/1965;TALENCE;Permanent politique;;;;
18.0;ELU220;Madame;DESMARTIN;Béatrice;NI;Non Inscrits;;93.0;Seine-Saint-Denis;LUG 93;La Gauche et les Écologistes rassemblés avec Claude Bartolone 93;17/07/1961;Périgeux;Assistante administrative;;;;
18.0;ELU89;Monsieur;DRAY;Julien;E-ÎDF;Ensemble, l'Île-de-France;;94.0;Val-de-Marne;LUG 94;La Gauche et les Écologistes rassemblés avec Claude Bartolone 94;05/03/1955;;Cadre supérieur;;;;
18.0;ELU125;Madame;DUBLANCHE;Alexandra;LRI;Libres, Républicains et Indépendants;4éme Vice-présidente en charge du développement économique, de l'attractivité, de l'agriculture et de la ruralité;78.0;Yvelines;LUD 78;L'alternance avec Valérie Pécresse 78;25/04/1982;Paris 15ème;chef d’entreprise;@ADublanche;Alexandra Dublanche;;
18.0;ELU195;Monsieur;DUTHEIL DE LA ROCHÈRE;Bertrand;NI;Non Inscrits;;77.0;Seine-et-Marne;FN 77;Front National 77;19/02/1946;Toulon;Retraité EDF;@BDLR-RBM;;;
18.0;ELU3;Monsieur;FOUCHAULT;Michel;LRI;Libres, Républicains et Indépendants;;77.0;Seine-et-Marne;LUD 77;L'alternance avec Valérie Pécresse 77;27/07/1955;;Agriculteur-propriétaire exploit.;;;;
18.0;ELU44;Madame;FREY;Christine;E-ÎDF;Ensemble, l'Île-de-France;;75.0;Paris;LUG 75;La Gauche et les Écologistes rassemblés avec Claude Bartolone;03/11/1954;Montauban;Ingénieur de recherche;@christine_frey1;;;http://un-quartier-du-monde.blogspot.fr
18.0;ELU158;Monsieur;GIAFFERI;Pascal;CD;Centre et des Démocrates;;92.0;Hauts-de-Seine;LUD 92;L'alternance avec Valérie Pécresse 92;23/04/1961;Paris;Administrateur de biens;@giafferiP;;;
18.0;ELU87;Monsieur;GUILLAUD-BATAILLE;Fabien;FdG;Front de Gauche - Parti communiste français et République & socialisme;;94.0;Val-de-Marne;LUG 94;La Gauche et les Écologistes rassemblés avec Claude Bartolone 94;03/02/1975;Oullins;Permanent politique;@Fabien_GB94;Fabien Guillaud-Bataille;;
18.0;ELU13;Monsieur;JEANNE;Laurent;LRI;Libres, Républicains et Indépendants;;94.0;Val-de-Marne;LUD 94;l'alternance avec Valérie Pécresse 94;03/01/1970;Champigny-sur-Marne;Cadre supérieur (secteur privé);@laurentjeanne94;laurent jeanne;http://champigny-alternance.fr;
18.0;ELU79;Madame;KASMI;Samia;EcoPro-IDF;Ecologiste et progressistes pour l'Île-de-France;;92.0;Hauts-de-Seine;LUG 92;La Gauche et les Écologistes rassemblés avec Claude Bartolone 92;04/09/1975;St Ouen;Avocat;@samkasmi;kasmi samia;;
18.0;ELU90;Madame;LAHMER;Annie;AES;Alternative écologiste et sociale;;94.0;Val-de-Marne;LUG 94;La Gauche et les Écologistes rassemblés avec Claude Bartolone 94;04/07/1959;Mayence (Allemagne);Directrice de cabinet municipal;@annielahmer;;;
18.0;ELU132;Monsieur;LASTEYRIE (DE);Grégoire;LRI;Libres, Républicains et Indépendants;;91.0;Essonne;LUD 91;L'alternance avec Valérie Pécresse 91;14/08/1984;Paris;Maire;;;;
18.0;ELU122;Monsieur;LEQUILLER;Pierre;LRI;Libres, Républicains et Indépendants;;78.0;Yvelines;LUD 78;L'alternance avec Valérie Pécresse 78;04/12/1949;Londres;;;;;
18.0;ELU31;Monsieur;MARGAIN;Franck;LRI;Libres, Républicains et Indépendants;;75.0;Paris;LUD 75;L'alternance avec Valérie Pécresse 75;21/05/1961;;Cadre;@franckMargain;Franck Margain;http://www.franck-margain.fr;
18.0;ELU162;Madame;MARSIGNY;Brigitte;LRI;Libres, Républicains et Indépendants;;93.0;Seine-Saint-Denis;LUD 93;l'alternance avec Valérie Pécresse 93;11/07/1952;;Avocat;@MARSIGNYBm2014;Brigitte Marsigny;;http://www.umpnoisylegrand.fr
18.0;ELU147;Madame;MARTINI-PEMEZEC;Carine;LRI;Libres, Républicains et Indépendants;;92.0;Hauts-de-Seine;LUD 92;L'alternance avec Valérie Pécresse 92;17/11/1967;;Dentiste;;Carine Martine Pemezec;;
18.0;ELU71;Madame;MELIANE;Loubna;EcoPro-IDF;Ecologiste et progressistes pour l'Île-de-France;;91.0;Essonne;LUG 91;La Gauche et les Écologistes rassemblés avec Claude Bartolone 91;12/03/1978;;Attaché parlementaire;@LoubnaMeliane;Loubna Meliane;;
18.0;ELU108;Madame;MOLLARD-CADIX;Laure-Agnès;UDI;Union des Démocrates et Indépendants;;77.0;Seine-et-Marne;LUD 77;L'alternance avec Valérie Pécresse 77;27/01/1992;;: Etudiante;;;;
18.0;ELU97;Monsieur;RUIZ;Jean-Michel;FdG;Front de Gauche - Parti communiste français et République & socialisme;;95.0;Val-d'Oise;LUG 95;La Gauche et les Écologistes rassemblés avec Claude Bartolone 95;03/07/1964;;Permanent politique;@JeanMichelRuiz;;;
18.0;ELU190;Madame;ANDROUËT;Mathilde;RN-ÎDF;Rassemblement national Île-de-France;;75.0;Paris;FN 75;Front National 75;03/07/1984;Rueil-Malmaison;Assistante parlementaire;;elsa.vassent;;
